epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,5051.64,0.56712,0.47005,1.04696,0.90371,0.94678,0.95964,0.89213,0.5821,0.51811,1.14912,0.000364104,0.000364104,0.000364104
101,5101.74,0.56636,0.45521,1.04344,0.92822,0.91835,0.96374,0.89158,0.62707,0.50649,1.19174,0.00036057,0.00036057,0.00036057
102,5151.8,0.55944,0.45428,1.03619,0.94843,0.92517,0.96714,0.89376,0.56783,0.52369,1.1476,0.000357036,0.000357036,0.000357036
103,5201.67,0.5536,0.45851,1.04006,0.89571,0.92777,0.95116,0.878,0.63722,0.60621,1.25497,0.000353501,0.000353501,0.000353501
104,5251.58,0.55174,0.45285,1.03778,0.9371,0.94415,0.96742,0.89966,0.62053,0.49137,1.21588,0.000349967,0.000349967,0.000349967
105,5301.71,0.55605,0.44656,1.04198,0.94468,0.91345,0.95745,0.8916,0.59313,0.54347,1.14819,0.000346433,0.000346433,0.000346433
106,5351.92,0.54825,0.45831,1.03818,0.94016,0.92075,0.9596,0.88123,0.59173,0.55259,1.0894,0.000342899,0.000342899,0.000342899
107,5401.97,0.55217,0.45272,1.03539,0.8576,0.9255,0.94194,0.8744,0.56109,0.58667,1.0623,0.000339364,0.000339364,0.000339364
108,5451.96,0.55313,0.45076,1.03868,0.92039,0.90924,0.9503,0.87821,0.57653,0.57944,1.08636,0.00033583,0.00033583,0.00033583
109,5501.87,0.5566,0.45978,1.0409,0.89965,0.92048,0.95592,0.88458,0.59043,0.56373,1.12272,0.000332296,0.000332296,0.000332296
110,5552,0.54547,0.43923,1.03043,0.91301,0.93516,0.95711,0.89543,0.53346,0.51213,1.05356,0.000328761,0.000328761,0.000328761
111,5602.02,0.54434,0.44731,1.02731,0.9272,0.92695,0.96557,0.89714,0.57526,0.49545,1.11512,0.000325227,0.000325227,0.000325227
112,5651.97,0.54588,0.44091,1.03075,0.93569,0.91913,0.96007,0.89865,0.53545,0.50753,1.08623,0.000321693,0.000321693,0.000321693
113,5701.9,0.54684,0.43396,1.0344,0.94082,0.93302,0.96206,0.89597,0.55311,0.48706,1.06856,0.000318158,0.000318158,0.000318158
114,5751.66,0.54963,0.44324,1.03174,0.88763,0.9006,0.93652,0.86831,0.58712,0.62451,1.1516,0.000314624,0.000314624,0.000314624
115,5801.73,0.53876,0.4346,1.02827,0.92804,0.87622,0.9392,0.87198,0.60837,0.56712,1.21102,0.00031109,0.00031109,0.00031109
116,5851.77,0.53774,0.43181,1.02422,0.92889,0.91409,0.95467,0.88781,0.61506,0.51263,1.24683,0.000307555,0.000307555,0.000307555
117,5901.79,0.54612,0.43701,1.03893,0.93579,0.92401,0.95932,0.90133,0.54972,0.48186,1.13932,0.000304021,0.000304021,0.000304021
118,5952.04,0.52841,0.42606,1.02509,0.91159,0.93657,0.96126,0.89584,0.58594,0.48413,1.18231,0.000300487,0.000300487,0.000300487
119,6001.86,0.52939,0.43398,1.02325,0.92518,0.92149,0.95441,0.89623,0.5774,0.48374,1.22846,0.000296953,0.000296953,0.000296953
120,6051.73,0.53153,0.4367,1.02873,0.92317,0.90999,0.95832,0.8919,0.51111,0.49329,1.08175,0.000293418,0.000293418,0.000293418
121,6101.9,0.53575,0.42922,1.0224,0.90473,0.9209,0.95375,0.89108,0.5307,0.56542,1.08586,0.000289884,0.000289884,0.000289884
122,6152.17,0.52365,0.41762,1.02245,0.92845,0.90866,0.95348,0.88796,0.58047,0.55282,1.15106,0.00028635,0.00028635,0.00028635
123,6202.15,0.52446,0.42424,1.02484,0.92973,0.93376,0.96151,0.89462,0.606,0.46434,1.2274,0.000282815,0.000282815,0.000282815
124,6251.9,0.51377,0.42094,1.01727,0.91296,0.90173,0.95678,0.89746,0.55258,0.51602,1.13102,0.000279281,0.000279281,0.000279281
125,6301.78,0.52743,0.41947,1.02825,0.92858,0.90048,0.95472,0.90083,0.52508,0.55463,1.0998,0.000275747,0.000275747,0.000275747
126,6351.73,0.52036,0.41569,1.02073,0.87854,0.90375,0.94697,0.89245,0.55951,0.60356,1.13608,0.000272212,0.000272212,0.000272212
127,6401.93,0.50798,0.41182,1.01512,0.87276,0.87004,0.93671,0.87391,0.5388,0.70826,1.09476,0.000268678,0.000268678,0.000268678
128,6452.01,0.50915,0.41513,1.01282,0.87985,0.86504,0.93692,0.87658,0.60133,0.71138,1.21702,0.000265144,0.000265144,0.000265144
129,6502.13,0.51209,0.41463,1.01564,0.88316,0.92646,0.95136,0.89232,0.60063,0.52806,1.21829,0.00026161,0.00026161,0.00026161
130,6551.9,0.51508,0.41926,1.01684,0.88938,0.89373,0.94478,0.8828,0.57425,0.60646,1.10972,0.000258075,0.000258075,0.000258075
131,6601.88,0.50617,0.41529,1.01188,0.86569,0.93454,0.95587,0.89502,0.61103,0.50994,1.25891,0.000254541,0.000254541,0.000254541
132,6651.49,0.50253,0.40348,1.01224,0.87834,0.93063,0.95863,0.89444,0.57053,0.51033,1.16227,0.000251007,0.000251007,0.000251007
133,6701.32,0.51028,0.41396,1.00793,0.90551,0.92136,0.96127,0.90004,0.5506,0.48867,1.1567,0.000247472,0.000247472,0.000247472
134,6751.39,0.50363,0.40617,1.00922,0.93233,0.92341,0.96568,0.90117,0.54412,0.48008,1.10854,0.000243938,0.000243938,0.000243938
135,6801.75,0.50811,0.40402,1.01561,0.9033,0.92052,0.96009,0.89631,0.57391,0.5084,1.19961,0.000240404,0.000240404,0.000240404
136,6851.69,0.50396,0.40556,1.01479,0.92043,0.91809,0.96568,0.90646,0.60386,0.51588,1.28155,0.000236869,0.000236869,0.000236869
137,6901.4,0.51312,0.40298,1.01522,0.92293,0.88263,0.95686,0.89536,0.54925,0.56582,1.13287,0.000233335,0.000233335,0.000233335
138,6951.27,0.50194,0.4083,1.01199,0.92913,0.90705,0.96047,0.89395,0.56705,0.54164,1.13275,0.000229801,0.000229801,0.000229801
139,7001.37,0.50272,0.40215,1.00716,0.91836,0.92297,0.96703,0.90039,0.55539,0.53934,1.09702,0.000226267,0.000226267,0.000226267
140,7051.33,0.49513,0.40377,1.00661,0.92837,0.93232,0.96618,0.90458,0.53032,0.53075,1.03961,0.000222732,0.000222732,0.000222732
141,7101.4,0.49877,0.40753,1.01127,0.86105,0.9072,0.96327,0.89658,0.56078,0.58019,1.14064,0.000219198,0.000219198,0.000219198
142,7151.27,0.49185,0.40005,1.00073,0.92425,0.92203,0.96338,0.90266,0.5665,0.49789,1.19936,0.000215664,0.000215664,0.000215664
143,7200.94,0.49058,0.38687,1.00329,0.9562,0.91164,0.96697,0.9084,0.57982,0.47029,1.20544,0.000212129,0.000212129,0.000212129
144,7251.01,0.4986,0.40319,1.00509,0.94461,0.92568,0.96649,0.90517,0.582,0.49688,1.24472,0.000208595,0.000208595,0.000208595
145,7300.67,0.49082,0.39044,1.00598,0.9474,0.91809,0.96304,0.904,0.59394,0.48065,1.2367,0.000205061,0.000205061,0.000205061
146,7350.53,0.49071,0.39619,1.00527,0.94168,0.93013,0.96452,0.90916,0.51824,0.45825,1.11073,0.000201527,0.000201527,0.000201527
147,7400.6,0.48749,0.38666,1.00283,0.95748,0.93288,0.96593,0.90488,0.57539,0.45417,1.22096,0.000197992,0.000197992,0.000197992
148,7450.38,0.48338,0.383,1.00118,0.93996,0.91778,0.9635,0.90716,0.56047,0.43475,1.20272,0.000194458,0.000194458,0.000194458
149,7500.15,0.48343,0.38594,1.00345,0.94003,0.9202,0.96771,0.90704,0.52845,0.45767,1.12535,0.000190924,0.000190924,0.000190924
150,7550.24,0.48943,0.39519,1.00412,0.93875,0.92047,0.96546,0.90055,0.58339,0.45607,1.30083,0.000187389,0.000187389,0.000187389
151,7600.48,0.49405,0.38256,1.00521,0.93488,0.91598,0.96163,0.9002,0.55114,0.4544,1.20424,0.000183855,0.000183855,0.000183855
152,7650.6,0.48153,0.38271,0.99593,0.94534,0.90528,0.96602,0.90716,0.59955,0.45074,1.29468,0.000180321,0.000180321,0.000180321
153,7700.98,0.48686,0.38462,1.00096,0.95018,0.93991,0.9692,0.91062,0.54459,0.44183,1.17743,0.000176786,0.000176786,0.000176786
